"number","logFC","logCPM","PValue","FDR","GeneID"
"353",-0.0298999415742429,10.0077152762535,0.447694615734627,1,"lmo0877"
"355",0.125050882093206,9.56060922935839,0.107247483086033,1,"lmo0882"
"357",-0.0245038551162084,10.864051262851,0.793719424412346,1,"lmo0884"
"359",-0.0596761958098493,9.36961276433789,0.514823236476413,1,"lmo0887"
"36",0.0583602102671184,10.5272580822911,0.506104422204685,1,"lmo0075"
"361",0.0616209588638806,10.4978569350809,0.52140480531626,1,"RsbR"
"364",0.0501438206420561,10.726872084085,0.826375237794705,1,"rsbU"
"365",0.0885019610669365,9.66182100723798,0.541195168754545,1,"rsbV"
"369",0.0493933151063474,11.265935865267,0.67917723709317,1,"lmo0898"
"371",0.155722398973285,7.04647105868333,0.148295776813767,1,"lmo0898"
"372",0.00304883156577952,9.45768818866281,0.947415074436179,1,"lmo0909"
"374",-0.0471796768250744,9.18089486806464,0.979557131819915,1,"lmo0914"
"376",-0.0393500606067186,9.10637539522674,0.890323971504998,1,"lmo0916"
"377",0.115432683481266,10.7837131803383,0.244923711066445,1,"lmo0917"
"378",0.0951614208348715,9.70329077970801,0.149674398526394,1,"lmo0923"
"38",-0.0265275136573715,13.3088540528479,0.916387134053445,1,"lmo0086"
"380",0.00175904082521394,9.57640843864668,0.735021272632193,1,"lmo0935"
"381",-0.0184559865879535,9.91923308695804,0.574811644551198,1,"lmo0936"
"382",-0.237321356701742,7.13411611385996,0.11857159348799,1,"lmo0936"
"383",-0.0791997963902421,9.59862200235429,0.305836592468941,1,"lmo0938"
"384",-0.0267394100875541,10.1140727050781,0.9320918519071,1,"lmo0939"
"385",-0.0536929015380058,10.3852918150731,0.560356244558004,1,"lmo0941"
"386",-0.109186020329501,11.0653125136249,0.342792687984524,1,"lmo0942"
"387",0.0798941966934455,10.5570728890419,0.381334225635704,1,"lmo0945"
"388",0.211029733440775,8.77286368907389,0.065084412054526,1,"lmo0946"
"389",0.028315436455636,10.2234740889894,0.67255602573028,1,"lmo0948"
"391",-0.00638297013211372,10.1912549589909,0.879060543138537,1,"lmo0960"
"392",0.160332411366332,10.7426610408526,0.269728441279938,1,"lmo0961"
"393",-0.374282266194726,10.7938226175386,0.574630959250666,1,"dltC"
"395",-0.806100508940544,12.6583878088002,0.199637854677657,1,"dltA"
"397",-0.0473550341453579,10.1842629228637,0.560724510386858,1,"lmo0979"
"399",0.119698160623844,7.87687892719261,0.482624579857152,1,"lmo0980"
"40",0.0362978316905373,9.42698930831411,0.675125378643926,1,"lmo0088"
"400",-0.001283390306197,10.268700165762,0.939444015900902,1,"lmo0982"
"401",0.19088973901126,9.06258069585751,0.0317298056908476,1,"lmo0983"
"403",0.0397199411282093,9.48913154371502,0.89463471927007,1,"lmo0984"
"407",0.031543295430511,9.44707693046404,0.971458681494239,1,"ptsH"
"409",-0.141067499328156,7.89304702025327,0.383576931763609,1,"lmo1003"
"41",0.0710215368557846,10.7139421746246,0.512068861480181,1,"lmo0089"
"410",-0.132692291866234,10.6853586439897,0.20067236262883,1,"lmo1004"
"411",-0.145960063543245,10.2020182618625,0.195665874986752,1,"lmo1005"
"412",0.0223533336844937,7.12450383670029,0.634988234724838,1,"lmo1005"
"413",0.17307462242754,9.71064431640401,0.0240034420872566,1,"lmo1009"
"415",0.0827928135042006,10.7057048486974,0.392018999668284,1,"gbuA"
"417",-0.031499799110292,10.5123997416525,0.665237443439322,1,"gbuC"
"418",-0.0518494226437071,7.49421221011247,0.915837291623632,1,"gbuC"
"419",-0.0470085525611242,10.0967181078119,0.638207923319245,1,"lmo1020"
"422",0.000434552141542793,10.3847456378916,0.960161567894583,1,"lmo1024"
"424",0.100716684868402,8.26103935448078,0.499409094757853,1,"lmo1025"
"425",0.978386647443746,10.8861366360425,0.253005588374488,1,"lmo1028"
"427",0.025133457061127,10.2138827157359,0.873440923991268,1,"lmo1032"
"431",0.113609778753796,10.1388307624505,0.0379850967623783,1,"lmo1037"
"432",-0.223114281190449,7.39265860173806,0.292944471739522,1,"lmo1038"
"434",0.00630526369179875,10.0347433175777,0.825853090714404,1,"lmo1040"
"436",-0.0664639598262218,10.6154805259279,0.566305054027522,1,"lmo1042"
"440",0.05116190444054,9.64049837048067,0.685373423405944,1,"lmo1046"
"441",-0.234870956346752,11.0676250463504,0.417848665824649,1,"pdhA"
"443",-0.195351097763364,11.5213052154095,0.44932253193457,1,"pdhC"
"445",-0.0261169917245027,10.7424484078927,0.878020210238948,1,"lmo1057"
"447",0.158607607243033,10.1365179154947,0.00499181114319537,1,"lmo1060"
"448",0.181388081861915,7.37516218215576,0.286925388781209,1,"lmo1061"
"449",0.0435308013658212,10.9654762233011,0.63392207963059,1,"lmo1062"
