GeneID,S7,S6,S5,S23,S24,S25,S26,S27,S20,S21,S22,S28,S29,S30,S31,S32,S33,S8,S34
lmo0689,0,0,0,1435.5,127,533.5,90.5,30,614,547.5,198.5,88.5,468.5,685.5,244.5,0,1,0,0
lmo0689,0,0,0,228.5,22,74.5,14.5,1,92.5,89.5,29,19.5,65.5,100,48.5,0,0,0,0
cheA,0,0,0,2521.5,219,1154.5,132.5,70.5,1146.5,1047,533.5,186.5,826.5,1331.17,462,0,0,0,0
lmo0693,0,0,0,616,62,228.5,26.5,15.5,264,244.5,110.5,49,191.5,311.67,119,0,1,0,0
lmo0695,0,0,0,3387,240,1252,200,89,1315,1312,551,249,1088,1400.67,436.5,5,0,0,2
lmo0696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0697,0,0,0,1723.33,158.83,769.33,98.83,35.5,793.17,723.67,322.83,129.33,533.67,975.83,358.17,1,1,0,1
lmo0698,0,0,0,339.83,25.83,140.33,28.33,7,158.67,143.17,52.33,23.33,110.17,179.33,68.17,0,0,0,0
lmo0699,0,0,0,1478.83,131.33,631.33,90.83,27.5,708.67,593.67,258.83,86.83,458.17,770.33,240.17,1,2,0,1
lmo0700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmo0703,0,0,0,828.33,38.5,316,38.5,21,324.83,320.33,143.5,53.67,264.83,349.17,146,0,0,0,0
